id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
5601;Алексий, человек Божий;False;48,3 х 14,5 см;None;Дерево, левкас, ткань, золото, камни драгоценные, жемчуг, стекло;Алексий;1629 г.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5602;Алексий, митрополит Московский;False;31,5 х 27,0 х 3,0 см;None;Дерево, левкас, темпера;Святитель Алексей, митрополит московский;середина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Ростовое;None
5603;Распятие Господне, Троица Новозаветная, Введение во храм, Покров Богородицы, Жены мироносицы у гроба Господня (Крест);False;30,6 х 27,0 см;None;Серебро, дерево, левкас;Спаситель, жены-мироносицы, ангел, Богородица, Иоаким, Анна, первосвященник Захария, девы, Андрей юродивый, Роман Сладкопевец, святые, народ;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Сюжеты в клеймах;None
5604;Рождество Богородицы;False;30,0 х 26,0 см;None;Дерево, левкас, холст;Богородица, праведная Анна, праведный Иоаким, служанки;середина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция;None
5607;Деисус;False;36,0 х 112,0;None;Дерево, паволока, левкас;Спаситель, ангелы;вторая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Оглавное или оплечное;None
5608;Преображение;False;31,0 х 28,0 см;None;Дерево, левкас, темпера;Спаситель, пророк Моисей, пророк Илия, апостол Иоанн, апостол Иаков, апостол Петр;вторая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция;None
5609;Спас Нерукотворный, Не рыдай Мене Мати;False;144,5х116,0х2,5 см;None;Дерево, паволока, левкас;Спаситель, Богородица, ангелы, Иоанн Богослов, апостолы;первая половина - середина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Многофигурное;Ангел
5611;Владимирская;False;45,0 х 37,0 см;None;Дерево, левкас, темпера;Богоматерь, Спаситель;до 1693 г.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Поясное;None
5612;Успение;False;150,0 х 112,5 х 3,5 см;None;Дерево, левкас, темпера;Спаситель, Богородица, апостолы, святители, ангелы;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция;None
5613;Благовещение;False;30,0 х 27,0 см;None;Дерево, левкас, серебро;Богородица, архангел Гавриил;вторая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция;None
